0,0.09
0,0.077
0.001,0.077
0.001,0.073
0.001,0.072
0.001,0.067
0.002,0.068
0.002,0.092
0.002,0.095
0.002,0.203
0.003,0.21
0.003,0.772
0.003,0.833
0.003,-0.438
0.004,-0.42
0.004,0.04
0.004,0.06
0.004,0.25
0.004,0.21
0.005,-0.602
0.005,-0.637
0.005,-1.192
0.005,-1.19
0.006,-0.75
0.006,-0.722
0.006,-0.15
0.006,-0.132
0.007,0.118
0.007,0.123
0.007,0.16
0.007,0.153
0.008,0.027
0.008,0.02
0.008,-0.013
0.009,0.008
0.009,0.032
0.009,0.033
0.009,0.08
0.009,0.082
0.01,0.123
0.01,0.123
0.01,0.13
0.011,0.127
0.011,0.12
0.011,0.122
0.011,0.103
0.011,0.103
0.012,0.085
0.012,0.083
0.012,0.075
0.013,0.075
0.013,0.082
0.013,0.083
0.013,0.103
0.013,0.103
0.014,0.113
0.014,0.108
0.014,0.087
0.015,0.083
0.015,0.015
0.015,0.013
0.015,-0.037
0.015,-0.038
0.016,-0.085
0.016,-0.083
0.016,-0.095
0.017,-0.087
0.017,-0.063
0.017,-0.063
0.017,-0.058
0.018,-0.065
0.018,-0.085
0.018,-0.083
0.018,-0.103
0.018,-0.105
0.019,-0.11
0.019,-0.107
0.019,-0.085
0.019,-0.083
0.02,-0.052
0.02,-0.048
0.02,-0.035
0.021,-0.035
0.021,-0.025
0.021,-0.02
0.021,-0.028
0.021,-0.027
0.022,-0.04
0.022,-0.038
0.022,-0.03
0.022,-0.028
0.023,-0.015
0.023,-0.017
0.023,-0.012
0.024,-0.015
0.024,-0.01
0.024,-0.013
0.024,-0.005
0.025,-0.007
0.025,0.005
0.025,0.008
0.025,-0.002
0.025,-0.002
0.026,-0.017
0.026,-0.022
0.026,-0.015
0.026,-0.015
0.027,-0.008
0.027,-0.008
0.027,0.002
0.028,0
0.028,0.02
0.028,0.022
0.028,0.043
0.029,0.045
0.029,0.087
0.029,0.09
0.029,0.135
0.029,0.137
0.03,0.175
0.03,0.173
0.03,0.187
0.03,0.18
0.031,-0.15
0.031,-0.188
0.031,-0.702
0.032,-0.682
0.032,-0.362
0.032,-0.352
0.032,-0.143
0.033,-0.138
0.033,-0.03
0.033,-0.027
0.033,0.037
0.034,0.038
0.034,0.078
0.034,0.08
0.034,0.102
0.035,0.102
0.035,0.113
0.035,0.112
0.035,0.097
0.035,0.095
0.036,0.077
0.036,0.075
0.036,0.062
0.036,0.06
0.037,0.04
0.037,0.042
0.037,0.032
0.037,0.035
0.038,0.03
0.038,0.032
0.038,0.025
0.038,0.025
0.039,0.013
0.039,0.015
0.039,0.008
0.04,0.013
0.04,0.023
0.04,0.025
0.04,0.037
0.041,0.035
0.041,0.043
0.041,0.042
0.041,0.047
0.042,0.048
0.042,0.052
0.042,0.052
0.042,0.042
0.043,0.04
0.043,-0.015
0.043,-0.023
0.043,-0.177
0.043,-0.182
0.044,-0.24
0.044,-0.243
0.044,-0.21
0.044,-0.208
0.045,-0.112
0.045,-0.107
0.045,0.032
0.045,0.037
0.046,0.153
0.046,0.16
0.046,0.287
0.046,0.29
0.047,0.388
0.047,0.393
0.047,0.468
0.048,0.463
0.048,0.052
0.048,0.012
0.048,-1.265
0.049,-1.447
0.049,-0.923
0.049,-0.902
0.049,-0.207
0.05,-0.183
0.05,0.173
0.05,0.18
0.05,0.265
0.051,0.268
0.051,0.248
0.051,0.247
0.051,0.185
0.051,0.182
0.052,0.085
0.052,0.082
0.052,-0.005
0.052,-0.01
0.053,-0.057
0.053,-0.062
0.053,-0.045
0.053,-0.043
0.054,0.012
0.054,0.013
0.054,0.053
0.054,0.055
0.055,0.088
0.055,0.088
0.055,0.105
0.056,0.107
0.056,0.087
0.056,0.087
0.056,0.04
0.057,0.038
0.057,0
0.057,-0.003
0.057,-0.033
0.058,-0.037
0.058,-0.053
0.058,-0.052
0.058,-0.065
0.059,-0.067
0.059,-0.073
0.059,-0.07
0.059,-0.042
0.059,-0.042
0.06,-0.003
0.06,0
0.06,0.053
0.06,0.055
0.061,0.123
0.061,0.125
0.061,0.2
0.061,0.202
0.062,0.268
0.062,0.27
0.062,0.323
0.062,0.325
0.063,0.368
0.063,0.37
0.063,0.42
0.064,0.425
0.064,0.262
0.064,0.243
0.064,-0.565
0.065,-0.603
0.065,-1.092
0.065,-1.092
0.065,-0.825
0.066,-0.803
0.066,-0.245
0.066,-0.225
0.066,0.138
0.067,0.148
0.067,0.272
0.067,0.273
0.067,0.293
0.068,0.292
0.068,0.263
0.068,0.262
0.068,0.22
0.069,0.217
0.069,0.165
0.069,0.163
0.069,0.125
0.07,0.123
0.07,0.075
0.07,0.072
0.07,0.038
0.07,0.03
0.071,0.043
0.071,0.042
0.071,0.083
0.071,0.087
0.072,0.172
0.072,0.178
0.072,0.28
0.072,0.285
0.073,0.4
0.073,0.405
0.073,0.532
0.073,0.538
0.074,0.748
0.074,0.76
0.074,1.01
0.074,1.02
0.075,1.277
0.075,1.272
0.075,0.317
0.075,0.25
0.076,-0.953
0.076,-0.408
0.076,-2.803
0.076,-1.588
0.077,-2.832
